SP800-87 Code,Parent,SP800-87 Description
0000,,The Legislative Branch
0001,0000,"Congress, generally, no additional specification available "
0010,0000,"Senate, The "
0050,0000,"House of Representatives, The "
0099,0000,"Joint House and Senate Entities (Capitol Police Board, Capitol Guide Service, Office of the Attending Physician, Joint Economic Committee, Joint Committee on Printing, and Joint Committee on Taxation)"
0100,0000, Architect of the Capitol 
0300,0000,Library of Congress 
0361,,Library of Congress Trust Fund Board 
0363,,Federal Library & Information Center Committee 
0400,0000,Government Printing Office 
0500,0000,General Accounting Office 
0501,0500,Comptroller General of the United States 
0559,0500,"GAO, except Comptroller General "
0800,0000,Congressional Budget Office 
0901,0000,Commission on Security and Cooperation in Europe 
0902,0000,Botanic Garden 
0904,0000,Office of Compliance 
0905,,Dwight D. Eisenhower Memorial Commission 
0914,,John C. Stennis Center for Public Service Training and Development 
0915,,Advisory Commission on Electronic Commerce 
0916,,National Commission on Terrorism 
0923,,Commission on the People's Republic of China
0929,0000,U.S. Capitol Preservation Commission 
 0938,,Abraham Lincoln Bicentennial Commission 
0962,0000,Permanent Committee for the Oliver Wendell Holmes Devise 
0973,,National Commission on Terrorist Attacks upon the United States 
0975,,Commission on the Review of the Overseas Military Facility Structure of the United States 
0977,,Antitrust Modernization Commission 
1000,,The Judicial Branch
1001,1000,Supreme Court of the United States 
1002,,U.S. Courts of Appeals-Judicial Circuits - except the Federal Circuit 
1003,,U.S. Court of Appeals for the Federal Circuit 
1004,,U.S. Court of International Trade 
1005,,U.S. Court of Federal Claims 
1012,,U.S. District and Territorial Courts 
1018,,U.S. Judicial Panel on Multidistrict Litigation 
1021,,Bankruptcy Courts 
1023,,Federal Public Defenders 
1025,,Court Security 
1027,,Administrative Office of the U.S. Courts 
1028,,Federal Judicial Center 
1030,,United States Sentencing Commission 
1050,1001,Chief Justice of the United States 
1051,1001,Associate Justices of the Supreme Court 
1059,1001,"Supreme Court, except Justices "
1060,,Judicial Conference of the United States 
1100,,Executive Office of the President
1101,1100,President of the United States 
1102,1100,National Security Council 
1103,1100,Office of Management and Budget 
1105,1100,Office of Administration 
1109,1100,Office of the United States Trade Representative 
1110,1100,Office of Policy Development 
1112,1100,Office of Science and Technology Policy 
1113,1100,Council of Economic Advisors 
1117,1100,White House Office 
1118,1100,Executive Residence at the White House 
1119,1100,Council on Environmental Quality/Office of Environmental Quality 
1121,1103,"Director, OMB "
1127,1100,Office of the National Drug Control Policy 
1129,1103,"OMB, except Director "
1140,1100,President's Council on Sustainable Development 
1141,,African Development Foundation 
1143,,Inter-American Foundation 
1145,,Peace Corps 
1148,1100,Office of Homeland Security
1153,,Trade and Development Agency 
1160,1100,Office of the Vice President of the United States 
1165,,White House Commission on Presidential Scholars 
1170,1100,Commission on the Intelligence Capabilities of the United States Regarding Weapons of Mass Destruction 
11DA,,International Development Association 
11DB,,African Development Fund 
11DE,,Asian Development Bank 
11DF,,International Finance Corporation 
11DG,,International Fund for Agricultural Development 
11DH,,Inter-American Development Bank 
11DK,,European Bank for Reconstruction and Development 
11DM,,International Monetary Fund 
11DN,,North American Development Bank 
11DR,,International Bank for Reconstruction and Development (World Bank) 
11DT,,Inter-American Defense Board 
11DW,,Multilateral Investment Guarantee Agency 
11RF,,Multinational Force and Observers 
1200,,Department of Agriculture
1201,1200,Office of the Secretary of Agriculture 
1203,1200,"USDA, Office of the General Counsel "
1204,1200,Office of the Inspector General 
1205,1200,"USDA, Office of the Chief Financial Officer "
1208,1200,"USDA, Office of Communications "
1215,1200,"USDA, Office of Operations"
1260,12D0,Commodity Credit Corporation 
1261,1200,Rural Telephone Bank 
1263,12D0,Federal Crop Insurance Corporation 
1291,,Land grant colleges and Tuskegee Institute 
12A0,1200,"USDA, Office of Executive Operations "
12A2,1200,"USDA, Office of Executive Secretariat "
12A4,1200,"USDA, Homeland Security "
12A5,1200,"USDA, Office of the Chief Economist "
12A6,1200,"USDA, Office of Budget and Program Analysis "
12A7,1200,"USDA, Office of the Chief Information Officer "
12A8,1200,"USDA, Office of Small and Disadvantaged Business"
12A9,1200,"USDA, National Appeals Division "
12B0,1200,"USDA, Assistant Secretary for Administration "
12B1,1200,"USDA, Office of Security Services"
12B2,1200,"USDA, Civil Rights"
12B3,1200,"USDA, Office of Property and Procurement Management"
12B5,1200,"USDA, Office of Human Capital Management"
12B6,1200,"USDA, Office of the Administrative Law Judge"
12B7,1200,"USDA, Office of the Judicial Officer"
12B8,1200,"USDA, Board of Contract Appeals"
12BD,1200,"USDA, Office of Ethics"
12C0,1200,Under Secretary for Natural Resources and Environment 
12C2,12C0,Forest Service 
12C3,12C0,Natural Resources Conservation Service 
12CN,,International Institute for Cotton 
12D0,,Under Secretary for Farm and Foreign Agricultural Services 
12D2,12D0,Farm Service Agency 
12D3,12D0,Foreign Agricultural Service 
12D4,12D0,Risk Management Agency 
12E0,,Under Secretary for Rural Development
12E2,1200,Rural Utilities Service 
12E3,1200,Rural Housing Service 
12E4,1200,Rural Business Cooperative Service 
12E6,1200,National Sheep Industry Improvement Center 
12F0,1200,"Under Secretary for Food, Nutrition, and Consumer Services "
12F2,12F0,Food and Nutrition Service 
12F3,12F0,Center for Nutrition Policy and Promotion 
12G0,1200,Under Secretary for Food Safety 
12G2,12G0,Food Safety and Inspection Service 
12H0,1200,"Under Secretary for Research, Education, and Economics "
12H2,12H0,Agricultural Research Service 
12H3,12H0,"Cooperative State Research, Education, and Extension Service "
12H4,12H0,Economic Research Service 
12H5,12H0,National Agricultural Statistics Service 
12J0,1201,Assistant Secretary for Congressional Relations 
12J2,1200,"USDA, Office of Congressional and Intergovernmental Relations "
12K0,1200,Under Secretary for Marketing and Regulatory Programs 
12K2,12K0,Agricultural Marketing Service 
12K3,12K0,Animal and Plant Health Inspection Service 
12K4,12K0,"Grain Inspection, Packers and Stockyards Administration "
1300,,Department of Commerce
1301,1300,Office of the Secretary 
1303,1300,Office of the General Counsel 
1304,1300,Office of the Inspector General 
1306,1300,Office - Chief Financial Officer & Assist. Sec'y for Admin. 
1314,1300,Economic and Statistics Administration/Under Secretary for Economic Affairs 
1315,1314,Chief Economist 
1321,1314,Bureau of Economic Analysis 
1323,1314,Bureau of the Census 
1325,1300,Economic Development Administration/Assistant Secretary for Economic Development 
1330,1300,National Oceanic and Atmospheric Administration/Under Secretary for Oceans and Atmosphere 
1335,1300,National Telecommunication and Information Administration/Assistant Secretary for Communications and Information 
1341,1359,National Institute of Standards and Technology 
1342,1359,National Technical Information Service 
1343,1359,Assistant Secretary for Technology Policy 
1344,1300,Patent and Trademark Office/Under Secretary for Intellectual Property 
1350,1300,International Trade Administration 
1351,1300,Under Secretary for Export Administration/Bureau of Industry and Security 
1352,1300,Minority Business Development Agency 
1359,1300,Technology Administration/Under Secretary of Technology 
1363,,Committee for the Implementation of Textile Agreements 
1365,,Export Administration Review Board 
1400,,Department of the Interior
1402,140S,Office of the Deputy Secretary of the Interior 
1403,1400,Office of the Solicitor 
1404,1400,Office of the Inspector General 
1406,140S,"Office of Policy, Management and Budget/Chief Financial Officer "
1407,140S,Office of Congressional and Legislative Affairs 
1408,140S,Office of Communications 
1409,140S,Office of Insular Affairs 
1410,140S,Office of The Chief Information Officer 
140S,1400,Office of the Secretary of the Interior 
1411,140S,Office for Equal Opportunity 
1413,1406,Office of Hearings and Appeals 
1414,140S,Executive Secretariat & Office of Regulatory Affairs 
1415,140S,Office of the Special Trustee for American Indians 
1418,1406,Office of Small and Disadvantaged Business Utilization 
1422,142L,Bureau of Land Management 
1425,142W,Bureau of Reclamation 
1428,1400,National Business Center 
142F,1400,Fish and Wildlife and Parks (Assistant Secretary) 
142L,1400,Land and Minerals Management (Assistant Secretary) 
142W,1400,Water and Science (Assistant Secretary) 
1434,142W,Geological Survey 
1435,142L,Minerals Management Service 
1438,142L,"Office of Surface Mining, Reclamation and Enforcement"
1443,142F,National Park Service
1448,142F,U.S. Fish and Wildlife Service 
1450,1400,Indian Affairs (Assistant Secretary) 
1460,1400,Board on Geographic Names 
1461,1400,Migratory Bird Conservation Commission 
1464,1400,Illinois and Michigan Canal National Heritage Corridor Commission 
1465,1400,Metropolitan River Corridors Study Committee 
1466,1400,Endangered Species Committee 
1467,1400,Utah Reclamation Mitigation and Conservation Commission 
1468,1400,Indian Arts and Crafts Board 
1469,1400,National Indian Gaming Commission 
1500,,Department of Justice
1501,1500,"Offices, Boards and Divisions "
1504,1500,Office of the Inspector General 
1524,1500,Drug Enforcement Administration
1526,1500,Executive Office for U.S. Attorneys and the Offices of U.S. Attorneys 
1528,1500,Immigration and Naturalization Service 
1530,1500,Executive Office for Immigration Review 
1535,1500,Community Relations Service 
1540,1500,Bureau of Prisoners/Federal Prison System 
1544,1500,U.S. Marshals Service 
1549,1500,Federal Bureau of Investigation 
1550,1500,Office of Justice Programs 
1555,1500,Executive Office for U.S. Trustees 
1560,1500,"Bureau of Alcohol, Tobacco, Firearms and Explosives "
1600,,Department of Labor
1601,160S,Immediate Office of the Secretary of Labor 
1603,1600,Office of the Solicitor 
1604,1600,Office of Inspector General 
1605,1600,Office of the Assistant Secretary for Administration and Management 
1606,1600,Office of the Assistant Secretary for Policy 
1607,1600,Office of the Assistant Secretary of Labor for Congressional and Intergovernmental Affairs 
1608,1600,Office of Public Affairs 
1609,1600,Bureau of International Labor Affairs 
160S,1600,Office of the Secretary of Labor 
160U,160S,Office of the Deputy Secretary of Labor 
1610,160S,Office of Adjudicatory Services 
1613,160S,Office of Administrative Law Judges 
1615,160S,Benefits Review Board 
1616,160S,Employees Compensation Appeals Board 
1617,160S,Administrative Review Board 
1618,160S,Office of Small Business Programs 
1619,160S,Executive Secretariat 
1620,160S,Office of 21st Century Workforce 
1621,1600,Employee Benefits Security Administration 
1622,1600,Office of the Chief Financial Officer 
1623,160S,Center for Faith-based and Community Initiatives 
1625,1600,Bureau of Labor Statistics 
1630,1600,Employment and Training Administration 
1631,1600,Office of Job Corps
1635,1600,Employment Standards Administration 
1645,1600,Mine Safety and Health Administration 
1650,1600,Occupational Safety and Health Administration 
1653,1600,Veterans Employment and Training Services 
1655,1600,Women's Bureau 
1665,,Pension Benefit Guaranty Corporation 
1667,1600,Office of Disability Employment Policy 
1700,,Department of the Navy
1708,1712,Immediate Office of the Secretary of the Navy 
1709,1712,Navy Staff Offices 
1710,1712,Navy Field Offices 
1711,1712,Immediate Office of the Chief of Naval Operations 
1712,1700,Navy Secretariat/Staff Offices 
1714,1712,Office of Naval Research 
1715,1712,Naval Intelligence Command 
1718,1712,Naval Medical Command 
1719,1712,Naval Air Systems Command 
1722,1712,Bureau of Naval Personnel 
1723,1712,Naval Supply Systems Command 
1724,1712,Naval Sea Systems Command 
1725,1712,Naval Facilities Engineering Command 
1727,1700,U.S. Marine Corps 
1730,1712,Special Projects Office 
1733,1712,Military Sealift Command 
1739,1712,Naval Space and Warfare Systems Command 
1741,1712,Naval Systems Management Activity 
1752,1712,"Commander, Navy Installations "
1760,1712,"U.S. Atlantic Fleet, Commander In Chief "
1761,1712,"U.S. Naval Forces, Europe "
1762,1712,Chief of Naval Education and Training 
1763,1712,Naval Network Operations Command 
1765,1712,Naval Oceanography Command 
1769,1712,Naval Security Group Command 
1770,1712,"U.S. Pacific Fleet, Commander in Chief "
1772,1712,Naval Reserve Force 
1774,1712,Naval Special Warfare Command 
1776,1712,Naval Education and Training Command 
17ZS,1712,U.S. Special Operations Command (Navy) 
1800,,U.S. Postal Service
1804,1800,Office -Inspector General of the U.S. Postal Service 
1810,1800,U.S. Postal Inspection Service 
1861,,Postal Rate Commission
1865,,Citizens' Stamp Advisory Committee 
18AP,,Postal Union of the Americas and Spain and Portugal
1900,,Department of State
1901,190S,Immediate Office of the Secretary of State 
1902,190S,Office of the Deputy Secretary of State 
1903,190S,Office of the Legal Adviser 
1904,190S,Office of the Inspector General 
1905,1900,Office of the Under Secretary for Management 
1906,190S,Policy Planning Council 
1907,190S,Bureau of Legislative Affairs 
190S,1900,Office of the Secretary of State 
1910,190S,Chief of Protocol 
1911,190S,Office of Equal Employment Opportunity and Civil Rights 
1912,190S,Coordinator for Counter-Terrorism 
1913,1900,Office of the Under Secretary for Political Affairs 
1914,1900,Office of the Under Secretary for Economic and Agricultural Affairs 
1915,1900,Office of the Under Sec'y for Arms Control & Internat'l Security Affairs 
1916,190S,Counselor of the Department 
1917,190S,Office of Executive Secretary 
1918,190S,Chief of Staff 
1921,1913,Bureau of African Affairs 
1923,1913,Bureau of East Asian and Pacific Affairs 
1925,1913,Bureau of European and Eurasian Affairs 
1927,1913,Bureau of Western Hemisphere Affairs 
1928,1913,Bureau of South Asian Affairs 
1929,1913,Bureau of Near Eastern Affairs 
1930,1905,Bureau of Consular Affairs 
1931,1905,Chief Financial Officer 
1932,1905,Foreign Service Institute 
1933,1914,Bureau of Economic and Business Affairs 
1934,1914,Bureau of Overseas Buildings Operations
1935,1905,Director General of the Foreign Service and Director of Human Resource 
1936,1941,"Bureau of Democracy, Human Rights and Labor "
1937,1905,Bureau of Administration 
1938,1905,Bureau of Diplomatic Security and Office of Foreign Missions 
1939,190S,Bureau of Intelligence and Research 
1941,1900,Office of the Under Secretary for Global Affairs 
1942,1941,Bureau of International Narcotics and Law Enforcement Affairs 
1943,1905,Office of Information Resources Management 
1945,1913,Bureau of International Organization Affairs 
1946,1905,Bureau of Resource Management 
1948,1941,Bureau of Oceans & Internat'l Environmental & Scientific Affairs 
1950,1915,Bureau of Political-Military Affairs 
1951,1915,Assistant Secretary for Arms Control 
19TB,1900,Office of the Under Secretary for Public Diplomacy and Public Affairs
1952,19TB,Bureau of Public Affairs 
1953,19TB,Bureau of Educational and Cultural Affairs
1954,1941,"Bureau of Population, Refugees and Migration "
1955,1915,Assistant Secretary for Non-Proliferation 
1956,1915,Assistant Secretary for Verification and Compliance 
1957,19TB,International Public Information Core Group Secretariat 
1958,190S,Office of U.S. Ambassador to the United Nations 
1959,19TB,Office of International Information Programs 
195A,,Eisenhower Exchange Fellowship Program 
1960,,Artistic Ambassador Advisory Committee 
1961,,Board of Foreign Scholarships 
1962,,Cultural Property Advisory Committee 
1963,,U.S. Advisory Commission on Public Diplomacy 
1964,,J. William Fulbright Foreign Scholarship Board 
1965,,Center for Cultural and Technical Interchange Between East and West 
1966,,Eastern Europe Student Exchange Program 
1967,,Center for Cultural and Technical Interchange Between North and South 
1968,,Russian Far East Technical Assistance Center 
1969,,National Endowment for Democracy 
195B,,Israeli Arab Scholarship Program 
195C,,Broadcasting Board of Governors 
1991,,American Institute in Taiwan 
1993,,Asia Foundation 
19AA,,Inter-American Institute for Cooperation on Agriculture 
19AG,,Pan-American Institute of Geography and History 
19AH,,Pan-American Health Organization 
19AN,,Inter-American Indian Institute 
19AR,,Pan-American Railway Congress Association 
19AS,,Organization of American States 
19BC,,U.S. and Canada International Boundary Commission 
19BE,,U.S. and Canada Border Environment Cooperation Commission 
19BJ,,U.S. and Canada International Joint Commission 
19BM,,U.S. and Mexico International Boundary and Water Commission 
19CB,,International Natural Rubber Organization 
19CC,,International Cotton Advisory Committee 
19CF,,International Coffee Organization 
19CJ,,International Jute Organization 
19CL,,International Lead and Zinc Study Group 
19CR,,International Rubber Study Group 
19CS,,International Sugar Organization 
19CU,,International Copper Study Group 
19CV,,International Office of the Vine and Wine 
19CW,,International Wheat Council 
19CX,,International Tropical Timber Organization 
19DC,,Permanent Joint Board on Defense - U.S. & Canada
19DM,,Joint Mexican-United States Defense Commission 
19EC,,International Agency for Research on Cancer 
19EM,,International Bureau of Weights and Measures 
19EP,,Internat'l Cntr -- Study of the Preserv. & Restoration of Cultural Property 
19ES,,International Seed Testing Association 
19EV,,International Union for the Protection of New Varieties of Plants 
19EZ,,International Office of Epizootics 
19FA,,North Atlantic Salmon Conservation Organization 
19FD,,Pacific Salmon Commission 
19FE,,International Council for the Exploration of the Sea 
19FG,,Great Lakes Fishery Commission 
19FH,,International Pacific Halibut Commission 
19FK,,North Pacific Anadromous Fish Commission 
19FL,,International Commission for the Conservation of Atlantic Tunas 
19FN,,Northwest Atlantic Fisheries Organization 
19FR,,Commission for the Conservation of Antarctic Marine Living Resources 
19FT,,Inter-American Tropical Tuna Commission 
19FW,,International Whaling Commission 
19FY,,North Pacific Marine Science Organization 
19LA,,International Bureau of the Permanent Court of Arbitration 
19LH,,Hague Conference on Private International Law 
19LM,,International Organization for Legal Metrology 
19LU,,International Institute for the Unification of Private Law 
19MC,,U.N. Memorial Cemetery Commission 
19ME,,International Organization for Migration 
19MR,,International Committee of the Red Cross 
19NH,,International Hydrographic Organization 
19PC,,Canada-United States Interparliamentary Group 
19PM,,Mexico-United States Interparliamentary Group 
19PU,,Interparliamentary Union 
19RA,,North Atlantic Assembly 
19RC,,Colombo Plan Council for Technical Cooperation 
19RD,,Colombo Plan for Cooperative Economic and Social Development in Asia and the Pacific
19RE,,Organization for Economic Cooperation and Development 
19RJ,,Asia-Pacific Economic Cooperation 
19RN,,North Atlantic Treaty Organization 
19RP,,South Pacific Commission 
19TC,,Customs Cooperation Council 
19TP,,International Bureau for the Publication of Customs Tariffs 
19TT,,General Agreement on Tariffs and Trade 
19TW,,World Tourism Organization 
19TX,,Bureau of International Expositions 
19UA,,International Civil Aviation Organization 
19UE,,International Atomic Energy Agency 
19UF,,Food and Agriculture Organization 
19UG,,International Maritime Organization 
19UH,,World Health Organization 
19UK,,United Nations Industrial Development Organization 
19UL,,International Labor Organization 
19UM,,World Meteorological Organization 
19UN,,United Nations (and special programs) 
19UP,,Universal Postal Union 
19UT,,International Telecommunication Union 
19UW,,World Intellectual Property Organization 
2000,,Department of the Treasury
2001,2000,Departmental Offices 
2004,2000,Inspector General 
2014,2000,Office of the Inspector General for Tax Administration 
2022,2000,Alcohol and Tobacco Tax and Trade Bureau 
2026,2000,Financial Crimes Enforcement Network 
2033,2000,Financial Management Service 
2036,2000,Bureau of the Public Debt 
2041,2000,Bureau of Engraving and Printing 
2044,2000,United States Mint 
2046,2000,Office of the Comptroller of the Currency 
2047,2000,Office of Thrift Supervision 
2050,2000,Internal Revenue Service 
2061,,Federal Financing Bank 
2066,,Community Development Financial Institutions 
2092,,Corporation for Public Broadcasting 
2093,,District of Columbia 
2095,,Legal Services Corporation
