act-name,see,aka
_______ Act of _______,,
``Kick-Back'' Racket Act,"See Copeland Anti-Kickback Act	",
``Seeing-Eye'' Dogs on Railroads Act,,
``SPARS'' Act,,
1950 Amendment to Public Law 38,,
1951 Amendments to the Universal Military Training and Service Act,,
1955 Amendments to the Universal Military Training and Service Act,,
1959 Amendment to the Texas City Disaster Relief Act,,
1964 Amendments to the Alaska Omnibus Act,,
1979 White House Conference on the Arts Act,,
1979 White House Conference on the Humanities Act,,
1984 Act to Combat International Terrorism,,
1984 Olympic Commemorative Coin Act,"See Olympic Commemorative Coin Act	",
1988 Olympic Commemorative Coin Act,,
1992 National Assessment of Chapter 1 Act,,
1992 Olympic Commemorative Coin Act,,
1992 White House Commemorative Coin Act,,
"1993 White House Conference on Children, Youth, and Families",,
"1997 Emergency Supplemental Appropriations Act for Recovery from Natural Disasters, and for Overseas Peacekeeping Efforts, Including Those in Bosnia",,
1998 Supplemental Appropriations and Rescissions Act,,
1999 Emergency Supplemental Appropriations Act,,
2001 Emergency Supplemental Appropriations Act for Recovery from and Response to Terrorist Attacks on the United States,,
2002 Supplemental Appropriations Act for Further Recovery From and Response To Terrorist Attacks on the United States,,
2002 Winter Olympic Commemorative Coin Act,,
2004 District of Columbia Omnibus Authorization Act,,
2005 District of Columbia Omnibus Authorization Act,,
21st Century Community Learning Centers Act,,
21st Century Department of Justice Appropriations Authorization Act,,
21st Century Emergency Communications Act of 2006,,
21st Century Nanotechnology Research and Development Act,,
225th Anniversary of the American Revolution Commemoration Act,,
3% Withholding Repeal and Job Creation Act,,
50 States Commemorative Coin Program Act,,
5-Star Generals Commemorative Coin Act,,
9/11 Commission Implementation Act of 2004,,
9/11 Commission International Implementation Act of 2007,,
9/11 Heroes Stamp Act of 2001,,
911 Modernization Act,,
A.A.A. Farm Relief and Inflation Act,,
Aamodt Litigation Settlement Act,,
Abaca Production Act of 1950,,
Abandoned Barge Act of 1992,,
Abandoned Infants Assistance Act Amendments of 1991,,
Abandoned Infants Assistance Act of 1988,,
Abandoned Mine Reclamation Act of 1990,,
Abandoned Property Collection Act,,
Abandoned Shipwreck Act of 1987,,
Able Seamen Act,,
Abolition of Slavery Act (Territories),,
Abraham Lincoln Bicentennial Commission Act,,
Abraham Lincoln Commemorative Coin Act,,
Academic Research Facilities Modernization Act of 1988,,
Access to Criminal History Records for State Sentencing Commissions Act of 2010,,
Access to High Standards Act,,
Accountability of Tax Dollars Act of 2002,,
Accountable Pipeline Safety and Partnership Act of 1996,,
"Accountant, Compliance, and Enforcement Staffing Act of 2003",,
Accounting and Auditing Act of 1950,,
Acid Precipitation Act of 1980,,
Acid Transportation Act (Carriage by Sea),,
Ackia Battleground National Monument Act,,
Acquisition Improvement and Accountability Act of 2007,,
Act for International Development of 1961,,
Act for International Development,,
"Act For Reform In Emerging New Democracies and Support and Help for Improved Partnership with Russia, Ukraine, and Other New Independent States",,"Also known as the FRIENDSHIP Act	"
Act for the Prevention and Punishment of Crimes Against Internationally Protected Persons,,
Act for the Prevention and Punishment of the Crime of Hostage-Taking,,
Act for the Protection of Foreign Officials and Official Guests of the United States,,
Act for the Regulation of Credit Life Insurance and Credit Accident and Health Insurance,,
Act Relating to Children Born Out of Wedlock,,
Act to authorize the United States to participate in chapter II of the Patent Cooperation Treaty,,
Act to Prevent Pollution from Ships,,
Act to Promote the Defense of the United States,,
ADA Amendments Act of 2008,,
Adam Walsh Child Protection and Safety Act of 2006,,
ADAMHA Reorganization Act,,
Adams Act (Agricultural Experiment Stations),,
Adams National Historical Park Act of 1998,,
Adamson Law (Eight Hour Day),,
Additional Continuing Appropriations Amendments 2011,,
Additional House Office Building Act of 1955,,
"Additional Urgent Deficiency Appropriation Act, 1941",,
Adjusted Compensation Act,"See World War Adjusted Compensation Act	",
"Adjusted Compensation Payment Act, 1936",,
Adjustment Act (Irrigation Projects),,
Adjustment Act (Railroad Land Grants),,
Adjustment to Lawful Resident Status of Certain Nationals of Countries for Which Extended Voluntary Departure Has Been Made Available,,
Administrative Conference Act,,
Administrative Dispute Resolution Act of 1996,,
Administrative Dispute Resolution Act,,
Administrative Expenses Act of 1946,,
Administrative Office of the United States Courts Personnel Act of 1990,,
Administrative Orders Review Act,,
Administrative Procedure Act,,
Administrative Procedure Technical Amendments Act of 1991,,
Administrative Simplification Compliance Act,,
"Admiral James W. Nance and Meg Donovan Foreign Relations Authorization Act, Fiscal Years 2000 and 2001 ",,
"Admiralty Bond Act	",,
Admiralty Extension Act,,
"Admiralty Island National Monument Land Management Act of 1990	",,
"Admiralty Jurisdiction Act (Extension)	","See Admiralty Extension Act	",
"Adoption and Safe Families Act of 1997	",,
"Adoption Assistance and Child Welfare Act of 1980	",,
"Adoption Promotion Act of 2003	",,
"Adult Education Act of 1966	","Renamed Adult Education Act	",
Adult Education Act,,
Adult Education Amendments of 1988,,
"Adult Education and Family Literacy Act	",,
"Adult Indian Vocational Training Act	",,
"Adulterated Seeds Act	",,
"ADVANCE Democracy Act of 2007	",,"Also known as the Advance Democratic Values, Address Nondemocratic Countries, and Enhance Democracy Act of 2007 "
"Advance Democratic Values, Address Nondemocratic Countries, and Enhance Democracy Act of 2007 ",,"Also known as the ADVANCE Democracy Act of 2007	"
"Advance Pay and Allotment Act of 1961	",,
"Advanced Geothermal Energy Research and Development Act of 2007	",,
"Advancement and Allotment of Pay in Emergency Evacuation Act	","See Advance Pay and Allotment Act of 1961	",
Advertising Act (Public Purchases) ,,
"Advisory Commission on Intergovernmental Relations Act of 1959	",,
"Advisory Committee on Intergovernmental Relations Act of 1959	","See Advisory Commission on Intergovernmental Relations Act of 1959	",
"Advisory Council on California Indian Policy Act of 1992	",,
"Advisory Council on California Indian Policy Extension Act of 1998	",,
Advisory Council on Community Renewal Act,,
"Affordable Housing for Seniors and Families Act	",,
"Afghan Allies Protection Act of 2009	",,
"Afghan Women and Children Relief Act of 2001	",,
"Afghanistan Freedom Support Act Amendments of 2004	",,
"Afghanistan Freedom Support Act of 2002	",,
"Africa Investment Incentive Act of 2006	",,
"Africa: Seeds of Hope Act of 1998	",,
"African American History Landmark Theme Study Act	",,
"African Conflict Resolution Act	",,
African Development Bank Act,,
"African Development Foundation Act	",,
"African Development Fund Act	",,
"African Elephant Conservation Act	",,
"African Elephant Conservation Reauthorization Act of 1998	",,
